App Name,Refined_Features
AnotherMonitor,"description: An Android system performance monitor that lets users dismiss onboarding hints, choose and track additional processes, inspect CPU and memory metrics, start performance recording, and access Help and About via a navigation drawer.

feature 1: Monitor processes and inspect CPU usage details.
sub-feature 1-1: After dismissing the onboarding prompt by tapping the ""ALRIGHT"" button identified by resource-id org.anothermonitor:id/BHint, the user opens process management via the control org.anothermonitor:id/BChooseProcess with text ""Choose other process(es)"" to select additional processes, uses the system Back navigation to return to the monitoring view, and then taps the CPU section org.anothermonitor:id/LCPUAM to focus or expand CPU monitoring and view detailed CPU activity for the selected or running processes.

feature 2: Analyze memory metrics and record performance data.
sub-feature 2-1: Following hint acknowledgment by tapping org.anothermonitor:id/BHint with text ""ALRIGHT"", the user selects the Memory view via org.anothermonitor:id/BMemory (""Memory"") to display memory-related information, then starts a recording session by pressing org.anothermonitor:id/LButtonRecord, after which the interface indicates that memory performance data is being captured.

feature 3: Access support and app information through a navigation drawer.
sub-feature 3-1: Once the ""ALRIGHT"" button (org.anothermonitor:id/BHint) dismisses the intro hint, tapping the menu button org.anothermonitor:id/LButtonMenu opens the drawer to select ""Help"" and display the Help screen, pressing Back returns to the previous view, tapping org.anothermonitor:id/LButtonMenu again reopens the drawer to select ""About"" and show the About screen, and pressing Back returns to the main dashboard."
Arcticons,"description: An Arcticons companion app that lets users browse and manage an icon catalog, explore and apply wallpapers, and customize settings such as the app theme, all via a navigation drawer with searchable lists and occasional confirmation dialogs.

feature-1: Browse the icon catalog and perform in-catalog actions like opening items and searching.
sub-feature 1-1: Navigate to Icons, open an item, invoke search, and close the overlay to resume browsing. When the app opens, dismiss the initial dialog by tapping the positive action identified by resource-id com.donnnno.arcticons:id/md_buttonDefaultPositive; open and toggle the navigation drawer by tapping the toolbar navigation control identified by class android.widget.ImageButton and index 0 twice; select the “Icons” entry by tapping com.donnnno.arcticons:id/design_menu_item_text with text “Icons” to reach the icons view; open the first item by tapping the container identified by class android.widget.FrameLayout and index 0; invoke search via the action item com.donnnno.arcticons:id/menu_search, focus the search area by tapping com.donnnno.arcticons:id/inner_container, then close the resulting dialog or overlay by pressing the CLOSE button com.donnnno.arcticons:id/md_buttonDefaultPositive with text “CLOSE” to return to normal browsing.

feature-2: Browse, preview, save, and apply wallpapers from a dedicated Wallpapers section.
sub-feature 2-1: Open a wallpaper, re-enter preview, save locally (with reconfirmation), and apply to homescreen and lockscreen. Accept the startup dialog via com.donnnno.arcticons:id/md_buttonDefaultPositive, press system Back to return to the main view, open the drawer by tapping the top app button with class android.widget.ImageButton and index 0, and choose “Wallpapers” using com.donnnno.arcticons:id/design_menu_item_text with text ""Wallpapers"" to view the grid; open a wallpaper by tapping a thumbnail with resource-id com.donnnno.arcticons:id/image, briefly go back, then tap the same control (com.donnnno.arcticons:id/image) again—twice—to re-enter preview; from the preview toolbar, initiate saving by pressing com.donnnno.arcticons:id/menu_save with index 1 twice to trigger and reconfirm, then after using Back twice to leave intermediate screens, tap com.donnnno.arcticons:id/menu_save (index 1) again to repeat saving; to apply directly, tap com.donnnno.arcticons:id/menu_apply with index 2 and in the chooser select com.donnnno.arcticons:id/title with text ""Homescreen & Lockscreen"" so it applies to both destinations.

feature-3: Manage individual icons with actions such as bookmarking while handling dialogs and navigation.
sub-feature 3-1: Open Icons, view details, bookmark an icon, and dismiss info dialogs while navigating back as needed. Dismiss the startup dialog by tapping com.donnnno.arcticons:id/md_buttonDefaultPositive, open the side drawer with the android.widget.ImageButton at index 0 and tap it again to toggle, then select the “Icons” section via com.donnnno.arcticons:id/design_menu_item_text with text “Icons” to navigate to the grid; pressing system Back at this point can take the user to the home screen (com.google.android.apps.nexuslauncher), and returning to the app, opening the first icon tile by tapping the element with class android.widget.FrameLayout and index 0 shows details; tapping the bookmark control com.donnnno.arcticons:id/bookmark_button triggers a dialog that can be closed with the button com.donnnno.arcticons:id/md_buttonDefaultPositive labeled “CLOSE”; using the top-left navigation via android.widget.ImageButton at index 0 moves back or toggles the drawer, and pressing Back within com.donnnno.arcticons returns to the prior screen, where tapping the first list row (class android.widget.LinearLayout, index 0) opens another informational view that is dismissed by pressing “CLOSE” via com.donnnno.arcticons:id/md_buttonDefaultPositive.

feature-4: Customize app behavior and appearance through a Settings screen, including theme selection.
sub-feature 4-1: Change the app theme to follow the system from Settings. Dismiss the initial prompt by tapping com.donnnno.arcticons:id/md_buttonDefaultPositive and press system Back within package com.donnnno.arcticons to navigate up; open the side menu using the top app bar button (class android.widget.ImageButton, index 0) and select “Settings” via com.donnnno.arcticons:id/design_menu_item_text with text ""Settings""; in Settings, tap the preference titled “Theme” identified by com.donnnno.arcticons:id/title to open theme controls where the current choice is indicated by com.donnnno.arcticons:id/subtitle with text ""Dark""; tap this ""Dark"" subtitle to show options and choose com.donnnno.arcticons:id/name with text ""Auto"" to switch the theme to follow the system and update the summary accordingly."
Autostarts,"description: An app for inspecting and managing which installed apps’ broadcast receivers run automatically (e.g., at boot or on connectivity changes), grouping entries by trigger and providing controls to disable receivers, search, regroup the list, and open system app details.
feature 1: Explore broadcast-event categories and quickly reveal or hide the receivers registered under each trigger.
sub-feature 1-1: When the user taps the category row with resource-id ""com.elsdoerfer.android.autostarts:id/title"" and text ""During Startup"", the section expands to show boot-time items, and tapping the same element again collapses it; tapping the category with resource-id ""com.elsdoerfer.android.autostarts:id/title"" and text ""After Startup"" similarly expands and collapses on a second tap; finally, selecting the event group with resource-id ""com.elsdoerfer.android.autostarts:id/title"" and text ""Connectivity changed"" expands to show receivers for network state changes and collapses on a subsequent tap, confirming toggle behavior for each broadcast category.
feature 2: Control per-app autostart receivers and access system-level details directly from the categorized list.
sub-feature 2-1: After revealing the ""During Startup"" group (resource-id ""com.elsdoerfer.android.autostarts:id/title""), tapping the app entry titled ""Google"" (resource-id ""com.elsdoerfer.android.autostarts:id/title"") opens an action menu; choosing ""Disable"" (resource-id ""android:id/text1"", text ""Disable"") disables Google’s autostart receiver for the “During Startup” trigger and reflects the change; tapping ""Google"" again reopens the menu, and selecting ""Application Info"" (resource-id ""android:id/text1"", text ""Application Info"") navigates to the system Application Info screen for Google.
feature 3: Organize and find entries efficiently using grouping modes, in-app search, and overflow options.
sub-feature 3-1: Tapping the grouping control (resource-id ""com.elsdoerfer.android.autostarts:id/grouping"") reorganizes the list by the selected grouping mode; tapping the search action (resource-id ""com.elsdoerfer.android.autostarts:id/search"") opens the search interface for real-time filtering; performing the system Back action within the package ""com.elsdoerfer.android.autostarts"" dismisses search and returns to the grouped list; finally, tapping the overflow menu button (content-desc ""More options"") opens the app’s additional actions or settings."
CityZen,"description: An app for discovering, mapping, and managing city points of interest, letting users browse categories, view details, share places, interact with a live map, add new POIs, and organize favorites with tabbed navigation.

feature 1: Discover places by browsing categories, opening details, and sharing points of interest.
sub-feature 1-1: When the initial permission prompt appears, tapping the Allow button identified by the resource-id ""com.android.permissioncontroller:id/permission_allow_button"" in the com.google.android.permissioncontroller dialog grants the app its required access; selecting the ""Fast food"" category by tapping the item with the resource-id ""com.cityzen.cityzen:id/poi_title"" and text ""Fast food"" reveals relevant fast food points of interest; interacting with a specific result container by clicking the element with class ""android.widget.FrameLayout"" and index ""1"" focuses or opens that entry; tapping the place title again, identified by the resource-id ""com.cityzen.cityzen:id/poi_title,"" brings up the detailed view; finally, pressing the share control with the resource-id ""com.cityzen.cityzen:id/poiDialogShare"" opens the sharing flow for the currently viewed location.

feature 2: Navigate and act on the map to recenter on your location, open menus, create new POIs, and clear map content using floating action buttons and navigation controls.
sub-feature 2-1: When the location permission dialog appears, tapping the Allow button with resource-id ""com.android.permissioncontroller:id/permission_allow_button"" grants access; opening the map view is done by tapping the bottom label with resource-id ""com.cityzen.cityzen:id/smallLabel"" and text ""Map""; interacting with the icon rendered as class ""android.widget.ImageView"" at index ""1"" triggers its associated action; pressing the navigation control shown as class ""android.widget.ImageButton"" at index ""0"" opens or closes navigation or goes back; activating the location FAB with resource-id ""com.cityzen.cityzen:id/fabLocation"" recenters the map on the user’s position; pressing the same ""android.widget.ImageButton"" at index ""0"" again dismisses or navigates as per the app bar; tapping the add FAB with resource-id ""com.cityzen.cityzen:id/fabAdd"" reveals creation options; pressing the primary FAB with resource-id ""com.cityzen.cityzen:id/mainFab"" expands the main action menu; choosing the option labeled ""Add"" with resource-id ""com.cityzen.cityzen:id/mapCreateNewPoi"" and text ""Add"" initiates creating a new point of interest; invoking the Android Back action within package ""com.cityzen.cityzen"" returns to the previous map state; pressing the ""android.widget.ImageButton"" at index ""0"" once more navigates up or closes panels; finally, tapping the clear-map FAB with resource-id ""com.cityzen.cityzen:id/fabClearMap"" removes existing markers or overlays from the map.

feature 3: Save and review favorites while switching between Search and Favorites tabs to manage saved POIs.
sub-feature 3-1: When the permission prompt from com.google.android.permissioncontroller appears, tapping the button identified by resource-id ""com.android.permissioncontroller:id/permission_allow_button"" and text ""Allow"" enables the app to proceed; within ""com.cityzen.cityzen,"" tapping the category entry with resource-id ""com.cityzen.cityzen:id/poi_title"" and text ""Transportation"" opens that category, and selecting the first result is done by clicking the element in package ""com.cityzen.cityzen"" at index ""0"" to display the POI detail; in the detail view, tapping the favorite control with resource-id ""com.cityzen.cityzen:id/poiDialogFavorite"" marks the POI as a favorite, and tapping the close control with resource-id ""com.cityzen.cityzen:id/poiDialogClose"" dismisses the dialog; using Back within package ""com.cityzen.cityzen"" returns to the previous screen; opening the search view is done by tapping the tab with resource-id ""com.cityzen.cityzen:id/smallLabel"" and text ""Search,"" and pressing Back exits it; finally, opening the favorites section by tapping the tab with resource-id ""com.cityzen.cityzen:id/smallLabel"" and text ""Favorites"" shows the previously favorited POI."
Currency,"description: An app for managing a customizable currency list, converting amounts across currencies, refreshing exchange rates, and configuring display and connectivity preferences.

feature-1: Select currencies directly from a list to set the active currency for viewing or conversion.
sub-feature 1-1: Tapping currency rows by their shared resource-id ""org.billthefarmer.currency:id/name"" cycles the active selection based on text, where tapping the item with text ""USD"" selects USD, then tapping the next item with text ""GBP"" updates the selection to GBP, and finally tapping the item with text ""CAD"" switches the active selection to CAD.

feature-2: Provide in-app settings to control connectivity behavior and numeric precision for displayed values.
sub-feature 2-1: Using the navigation control with content-desc ""Navigate up"" to reach the main view, opening ""Settings"" via ""android:id/title"" with text ""Settings"", toggling the ""Roaming"" option labeled by ""android:id/title"" with text ""Roaming"", and then opening ""Fraction digits"" (""android:id/title"" with text ""Fraction digits"") to choose ""Four fraction digits"" (""android:id/text1"" with text ""Four fraction digits"") applies and saves four-decimal formatting across the app.

feature-3: Manage the currency list by adding new currencies and removing unwanted ones.
sub-feature 3-1: Tapping the add action button ""org.billthefarmer.currency:id/action_add"" and selecting the currency item ""org.billthefarmer.currency:id/name"" with text ""AUD"" adds AUD to the visible currency list.
sub-feature 3-2: Long-pressing the currency row ""org.billthefarmer.currency:id/name"" with text ""USD"" to select it, then tapping the remove action ""org.billthefarmer.currency:id/action_remove"" deletes the USD entry from the list.

feature-4: Refresh exchange rates on demand through the overflow menu.
sub-feature 4-1: Opening the overflow menu via the control with content-desc ""More options"" and selecting the ""Update"" item labeled by ""android:id/title"" with text ""Update"" triggers an exchange rate refresh.

feature-5: Calculate conversions by setting a base amount.
sub-feature 5-1: Entering the value ""1000"" into the input field ""org.billthefarmer.currency:id/value"" and confirming with the dialog button ""android:id/button1"" with text ""OK"" applies the amount and updates all displayed currency values accordingly.

feature-6: Show a visible status indicator and support manual refresh with confirmation of success.
sub-feature 6-1: The status view ""org.billthefarmer.currency:id/status"" initially displays ""OK"" and remains visible after invoking the refresh control ""org.billthefarmer.currency:id/action_refresh"", continuing to show ""OK"" to confirm the refresh completed without errors, with tapping the status view confirming focus on the indicator."
DNS66,"description: An app that provides DNS/VPN-based network filtering (DNS66), letting users start and monitor a local VPN service, manage custom DNS resolvers, configure hosts-based filter sources with auto-refresh and allow/deny modes, and control per-app filtering including system apps.

feature 1: Control and monitor the VPN-based filtering service, including permission handling, auto-resume on boot, connection watchdog, and on-demand refresh, to keep protection active and up to date.
sub-feature 1-1: When the user taps the start control with resource-id ""org.jak_linux.dns66:id/start_button"", a confirmation dialog appears, and pressing the button ""android:id/button1"" with text ""YES"" proceeds to the Android VPN permission prompt from package ""com.android.vpndialogs""; approving by tapping ""android:id/button1"" with text ""OK"" grants permission and starts the VPN-based service, after which enabling auto-resume is done by selecting the setting labeled ""Resume on system start-up"", turning on the watchdog by tapping ""org.jak_linux.dns66:id/watchdog"" with text ""Watch connection"" and confirming via ""android:id/button1"" with text ""CONTINUE"", and finally invoking the refresh action ""org.jak_linux.dns66:id/action_refresh"" updates the app’s lists or status to reflect the active service and newly applied settings.

feature 2: Manage custom DNS servers so users can enable and add resolvers by name and IP for use by the filtering service.
sub-feature 2-1: Tapping the section labeled ""DNS"" opens DNS settings, enabling custom DNS is done by clicking ""Custom DNS servers"" with resource-id ""org.jak_linux.dns66:id/dns_enabled"", adding a server uses the add button ""org.jak_linux.dns66:id/floating_action_button"" to open an editor where the name ""Google DNS"" is entered in ""org.jak_linux.dns66:id/title_layout"" and the address ""8.8.8.8"" in ""org.jak_linux.dns66:id/location_layout"", and saving via ""org.jak_linux.dns66:id/action_save"" commits the new entry into the enabled Custom DNS servers configuration.

feature 3: Configure hosts-based DNS filtering with automatic daily refresh and selectable allow/deny modes for each source.
sub-feature 3-1: Tapping the ""HOSTS"" section opens the sources screen, toggling daily updates is done with ""org.jak_linux.dns66:id/automatic_refresh"" labeled ""Refresh daily"", adding a source uses ""org.jak_linux.dns66:id/floating_action_button"" to open a form where ""kk"" is entered in ""org.jak_linux.dns66:id/title"" and ""example.com"" in ""org.jak_linux.dns66:id/location_layout"", the rule state is set by tapping ""android:id/text1"" with text ""Deny"" and switched to ""Allow"" by tapping the same control, and saving with ""org.jak_linux.dns66:id/action_save"" persists the entry so ""kk"" pointing to ""example.com"" appears in the list in Allow state.

feature 4: Provide per-application filtering management, including displaying system apps and toggling each app’s inclusion in filtering.
sub-feature 4-1: Tapping the ""APPS"" control opens the applications list, activating the switch ""org.jak_linux.dns66:id/switch_show_system_apps"" with text ""Show system apps"" expands the list to include system applications, and tapping the checkbox ""org.jak_linux.dns66:id/checkbox"" next to a chosen entry toggles its state to include or exclude that app from the filtering rules."
DNS_Hero,"description: A DNS lookup and diagnostics tool that lets users enter a domain, resolve it, inspect diagnostic sections such as root nameserver analysis, and manage the domain with favorites and overflow actions.

feature-1: Perform DNS resolution and access detailed diagnostic sections for a selected domain.
sub-feature 1-1: Users can type a domain, trigger resolution, switch to the diagnostics view, and open the Root Nameserver details for the current domain. When the user types ""google.com"" into the input field with resource-id ""com.gianlu.dnshero:id/loading_domain"", the value populates the field; tapping the trailing action icon with resource-id ""com.gianlu.dnshero:id/text_input_end_icon"" initiates loading and displays the results; tapping the ""DIAGNOSTIC"" label (class android.widget.TextView) switches the interface to the diagnostic view; and tapping the ""ROOT NAMESERVER"" item (class android.widget.TextView) opens or focuses the root nameserver diagnostic for the current domain, showing the related details.

feature-2: Provide quick domain management actions including favoriting and executing overflow menu options on the loaded domain.
sub-feature 2-1: Users can load a domain, toggle its favorite state, and invoke an overflow menu action for the current domain. When the input field ""com.gianlu.dnshero:id/loading_domain"" is filled with ""outlook.com"", tapping the text input end icon ""com.gianlu.dnshero:id/text_input_end_icon"" submits and loads the domain’s information; after that, tapping the favorite control ""com.gianlu.dnshero:id/domain_favorite"" toggles the favorite state for the current domain; to access extended actions, tapping the overflow button with content-desc ""More options"" opens the menu, and selecting the first entry represented by an element with class ""android.widget.RelativeLayout"" and index ""0"" executes the corresponding option."
Daedalus,"description: An app that provides a local VPN-based DNS service with a navigation drawer for accessing testing tools, log management, and DNS server configuration.

feature 1: Start and control the local VPN/DNS service and access the app’s navigation options.
sub-feature 1-1: Activates the VPN/DNS service and opens the navigation drawer; when the user taps the activation control identified by the resource-id ""org.itxtech.daedalus:id/button_activate"", the Android VPN permission dialog (""com.android.vpndialogs"") appears, and confirming with the OK button identified by the resource-id ""android:id/button1"" and text ""OK"" grants permission and allows the connection to proceed; after granting permission, tapping the navigation icon with the content-desc ""Open navigation drawer"" opens the side navigation panel for additional features or settings.

feature 2: View and manage app logs, including exporting and refreshing entries.
sub-feature 2-1: Opens the Log screen and performs export and refresh actions; tapping the navigation icon with the content-desc ""Open navigation drawer"" reveals the menu, selecting the ""Log"" entry with the resource-id ""org.itxtech.daedalus:id/design_menu_item_text"" and text ""Log"" navigates to the log view, pressing the export button ""org.itxtech.daedalus:id/action_export"" triggers log export, and then pressing the refresh button ""org.itxtech.daedalus:id/action_refresh"" reloads the displayed log entries.

feature 3: Test network/URL resolution and view detailed results.
sub-feature 3-1: Accesses the Test screen, inputs a target URL, starts the test, and reviews its details; opening the navigation drawer and choosing the ""Test"" item identified by the resource-id ""org.itxtech.daedalus:id/design_menu_item_text"" with text ""Test"" brings up the testing screen, the user types ""google.com"" into ""org.itxtech.daedalus:id/autoCompleteTextView_test_url"", initiates the test by pressing ""org.itxtech.daedalus:id/button_start_test"" and presses the same button again when shown with text ""START TEST"", and then taps the information area ""org.itxtech.daedalus:id/textView_test_info"" to bring detailed test information into view.

feature 4: Configure and apply custom DNS servers.
sub-feature 4-1: Adds a DNS server by name and address and applies the configuration; opening the navigation drawer and selecting ""Servers"" via the menu item ""org.itxtech.daedalus:id/design_menu_item_text"" with text ""Servers"" navigates to the server list, tapping the add action ""org.itxtech.daedalus:id/fab_add_server"" opens a dialog to enter the server name in the prompt titled by ""android:id/title"" with text ""Server Name"" where ""google"" is input and confirmed with ""android:id/button1"" (text ""OK""), then the address is entered at the next prompt titled ""Server Address"" as ""google.com"" and confirmed again with ""android:id/button1"" (text ""OK""), and finally tapping ""org.itxtech.daedalus:id/action_apply"" saves the new server and applies the configuration."
DiskUsage,"description: An app (com.google.android.diskusage) for visualizing disk usage, letting users browse storage volumes, search within them, and manage rescanning, rendering mode, and app information.

feature 1: Visualize and explore storage volumes through an interactive usage view.
sub-feature 1-1: When opening the app, the user selects the ""Storage card"" entry identified by resource-id ""android:id/text1"" and text ""Storage card"" to open its contents; the interactive visualization loads in the main content area ""android:id/content"", and tapping within this content surface (""android:id/content"") drills down or reveals details for the tapped region, confirming touch-responsive navigation within the storage hierarchy.

feature 2: Quickly search within the current storage view to find space-consuming items.
sub-feature 2-1: After tapping the ""Storage card"" entry (""android:id/text1""), the user opens search via the button ""android:id/search_button"", focuses the query field ""android:id/search_src_text"", and enters the term ""Apps"" into ""android:id/search_src_text"" to trigger in-app filtering that narrows the current ""Storage card"" view to items matching “Apps.”

feature 3: Control rescanning, rendering mode, and view app information via the overflow menu.
sub-feature 3-1: From the ""Storage card"" view (""android:id/text1""), the user opens the overflow menu with the control having content-desc ""More options"", selects ""Rescan"" (menu item ""android:id/title"" with text ""Rescan"") to refresh the usage data, opens ""More options"" again to choose ""Software Renderer"" (menu item ""android:id/title"" with text ""Software Renderer"") to switch rendering, then opens ""More options"" once more to select ""About"" (menu item ""android:id/title"" with text ""About"") to display the About screen, and finally uses the system Back action to return to the prior storage view."
Echo,"description: A quick audio-capture utility that records the last minute of audio, guides users to enable required system settings, allows configuration of buffer size and audio quality, and supports easy sharing and rating.

feature 1: Capture, name, and send the last minute of audio once required system settings are enabled.
sub-feature 1-1: When a confirmation prompt appears in eu.mrogalski.saidit, tapping the positive button with resource-id ""android:id/button1"" proceeds to Android Settings (package com.android.settings), where enabling the toggle ""android:id/switch_widget"" grants the needed setting; pressing system Back returns to SaidIt, where tapping ""eu.mrogalski.saidit:id/record_last_minute"" starts the last‑minute capture and shows the naming field ""eu.mrogalski.saidit:id/recording_name"", into which ""kk"" is entered, then confirmed via ""android:id/button1"", and finally the recording is dispatched by tapping the ""SEND"" button ""eu.mrogalski.saidit:id/recording_done_send"".

feature 2: Configure recording parameters via an in‑app settings screen to tailor memory usage and audio quality.
sub-feature 2-1: After confirming the in‑app dialog via ""android:id/button1"" and enabling the required system toggle ""android:id/switch_widget"" in com.android.settings, pressing Back returns to SaidIt, where tapping ""eu.mrogalski.saidit:id/settings_button"" opens settings, selecting ""eu.mrogalski.saidit:id/memory_medium"" with text ""256 MB"" applies a medium buffer, choosing ""eu.mrogalski.saidit:id/quality_8kHz"" with text ""8 KHZ"" sets a low sample rate, and tapping ""eu.mrogalski.saidit:id/settings_return"" returns to the main screen with the changes applied.

feature 3: Provide an in‑app entry point to rate the app on Google Play.
sub-feature 3-1: From SaidIt, confirming the dialog with ""android:id/button1"" and enabling the system setting via ""android:id/switch_widget"" in com.android.settings, then returning with system Back, allows tapping ""eu.mrogalski.saidit:id/rate_on_google_play"" to initiate the Google Play rating flow for the application."
